IGHV7-81
IGHV5-78
IGHV3-76
IGHV3-75
IGHV3-74
IGHV3-73
IGHV3-72
IGHV3-71
IGHV2-70
IGHV1-69-2
IGHV1-f
IGHV1-69
IGHV1-68
IGHV1-67
IGHV3-66
IGHV3-65
IGHV3-64
IGHV3-62
IGHV4-61
IGHV3-60
IGHV4-59
IGHV1-58
IGHV7-56
IGHV4-55
IGHV3-54
IGHV3-53
IGHV3-52
IGHV5-51
IGHV3-49
IGHV3-48
IGHV3-47
IGHV1-46
IGHV1-45
IGHV3-43
IGHV3-42
IGHV3-41
IGHV7-40
IGHV4-39
IGHV3-38-3
IGHV3-38
IGHV3-37
IGHV3-36
IGHV3-35
IGHV7-34-1
IGHV4-34
IGHV3-33-2
IGHV3-33
IGHV4-31
IGHV3-30-3
IGHV3-30-2
IGHV3-30
IGHV4-28
IGHV7-27
IGHV2-26
IGHV3-25
IGHV1-24
IGHV3-23
IGHV3-22
IGHV3-21
IGHV3-20
IGHV3-19
IGHV1-18
IGHV1-17
IGHV3-16-12
IGHV3-16-10
IGHV3-16
IGHV3-15
IGHV1-14
IGHV3-13
IGHV3-11
IGHV2-10
IGHV3-9
IGHV1-8
IGHV3-7
IGHV3-6
IGHV2-5
IGHV7-4-1
IGHV4-4
IGHV1-3
IGHV1-2
IGHV6-1
